item,homeportLabel,homeportCountryCode,homeportGeonamesId,ownerLabel,ownerUrl,ownerCountryCode,operatorLabel,operatorUrl,operatorCountryCode,manufacturerLabel,manufacturerUrl,manufacturerCountryCode
http://www.wikidata.org/entity/Q52347480,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52332279,,,,,,,,,,Oshima Shipbuilding,http://www.osy.co.jp/,JP
http://www.wikidata.org/entity/Q52332311,,,,,,,,,,Gdańsk Shipyard,http://www.gdanskshipyard.pl,PL
http://www.wikidata.org/entity/Q52332337,,,,,,,,,,Q1826035,http://www.lindenau.de/,DE
http://www.wikidata.org/entity/Q52332346,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52332385,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52332395,,,,Höegh Autoliners,http://www.hoeghautoliners.com/,NO,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52332426,,,,,,,,,,STX Finland Oy,http://www.meyerturku.com/en/meyerturku_com/index.jsp,FI
http://www.wikidata.org/entity/Q52332443,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52332576,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52332709,,,,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52332717,,,,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52332733,,,,,,,,,,Orskov Yard,https://www.orskov.dk/,DK
http://www.wikidata.org/entity/Q52332753,,,,,,,,,,Elsfleth Shipyard,http://www.elsflether-werft.de/,DE
