num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,ANTIPODE,838900,329016470,CHANTIER NAVAL 4 C,1992,294,294,"8,32","6,46",,POLYESTER EPOXY,2016-08-25,ESSENCE,POINTE A PITRE,Plaisance NC,2018-01-19,,,
,CAPTAIN RORO,838990,347017670,,1993,331,331,"8,38","5,76",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,,2018-01-01,,,
,MEME PAS PEUR,842366,,,1970,,,4,"0,87",,CONTREPLAQUE,2010-09-21,,CAEN,,,,2018-01-01,
,LIBERTA,873558,,BOSTON WHALER,1974,17,17,"4,3","1,25",,PLASTIQUE,1998-04-08,ESSENCE,VANNES,C.M.PetitePêche,,,2018-01-01,
,JACQUIE I,875493,227045460,,1996,66,66,"5,18","1,25",,PLASTIQUE,1996-07-10,ESSENCE,MARSEILLE,Petite pêche,,,2018-01-01,
,ETACHON,878346,227521010,,1993,,,"13,16",,,POLYESTER EPOXY,1994-06-09,,CHERBOURG,Cabotage Internat.,2018-01-01,,,
,CAT ANANAS,878505,660003700,,1994,43,43,"11,53",,,PLASTIQUE,1994-12-26,GAZOLE,SAINT DENIS DE LA REUNION,Plaisance NC,2018-01-01,,,
,G G XIII,879335,,CN LA GRIFFE MARINE,1993,55,55,"5,4","2,04",,AG/4 - ALU,2007-04-26,GAZOLE,TOULON,Navigation côtière,2018-01-01,2019-09-16T00:00:00.000+02:00,,
,LE FURTIF,879821,,,1994,22,22,"4,5",10,,ALLIAGE LEGER,2013-04-11,ESSENCE,PORT VENDRES,Navigation côtière,2018-01-01,,,
,L ANGE DE JENNY,879863,,MAR IMPORT,1993,30,30,"4,25","0,87",,POLYESTER EPOXY,2011-10-25,ESSENCE,TOULON,,,,2018-01-01,
,NEREIDE II,884683,,BLANDIN,1994,66,66,"6,33","1,9",,PLASTIQUE,2005-05-13,ESSENCE,ARCACHON,Petite pêche,,,2018-01-01,
,HAUTEBELLE,884732,227349250,,1994,110,110,"10,81",12,,BOIS MASSIF,,GAZOLE,ARCACHON,Plaisance NC,2018-04-21,,,
,HAMALA,885798,,,1994,166,166,"8,5",1,,PLASTIQUE,1995-05-10,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-03-25,
,PATRIO,886163,,,1995,147,147,"6,1","1,66",,PLASTIQUE,2001-07-03,ESSENCE,POINTE A PITRE,Petite pêche,,,2018-01-01,2019-09-23
,GROUPERS,886411,329008010,,1994,170,170,"7,59",4,,PLASTIQUE,1999-10-14,ESSENCE,POINTE A PITRE,Petite pêche,,,2018-01-01,
,FLIPPER 4,912545,660001880,,1998,59,59,"5,96","1,75",,PLASTIQUE,2002-06-03,ESSENCE,SAINT DENIS DE LA REUNION,,,,2018-01-01,
,AMZER ZO,912600,227713820,CLOCHET,1996,55,55,"10,07",,,BOIS,2007-05-23,GAZOLE,PAIMPOL,Plaisance NC,2018-01-01,,,
,PATIENCE,913490,,,1996,18,18,"5,75","0,5",,PLASTIQUE,2004-12-30,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TI COULI,913497,347003310,,1995,18,18,"5,75","0,56",,PLASTIQUE,1999-07-19,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,UN TEMPS,913521,,,1996,66,66,"5,5","1,17",,PLASTIQUE,1999-09-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LA CLEMENCEAU,918795,329015520,,1996,50,50,"5,13","0,82",,PLASTIQUE,2001-11-12,ESSENCE,POINTE A PITRE,Petite pêche,,,2018-01-01,
,GREENWITCH,918959,329013970,,1997,103,103,"6,5","2,53",,PLASTIQUE,2014-03-17,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-02-12,
,PA RETE LA,919056,,,1998,63,63,"5,9","0,84",,PLASTIQUE,1998-03-12,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-02-11,
,DI CO PA,922192,,GARREAU,1998,37,37,"7,55",,,METAL,1998-07-09,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,UNTXIN,922656,,,2000,56,56,"5,83",1,,PLASTIQUE,2001-02-13,ESSENCE,BAYONNE,Petite pêche,,,2018-01-01,
,CATALIZE,931413,660005030,ATELIER OUTREMER 34280,1997,29,29,"12,1","13,35",,POLYESTER EPOXY,,GAZOLE,SAINT DENIS DE LA REUNION,Plaisance NC,2018-01-01,,,
,ROMALIA,930674,,LACAZE,1997,99,99,"7,35",4,,PLASTIQUE,2012-01-23,ESSENCE,ARCACHON,Petite pêche,,,2018-01-01,
,DON PEDRO,931974,227805470,FRANCE,1997,720,720,16,"31,35",,POLYESTER EPOXY,1997-07-22,GAZOLE,TOULON,Plaisance NC,2018-01-01,,,
,ONE LOVE,934569,347014180,,1997,,,"12,37","20,83",,POLYESTER EPOXY,,,FORT DE FRANCE,Plaisance Cabot.Int.,2018-01-01,,,
,FUNNY,933374,,YAMAL BOAT,1998,110,110,"6,4","1,77",,POLYESTER EPOXY,,ESSENCE,PORT VENDRES,Plaisance NC,2018-01-01,,,
,DIVE 1,929376,,,2000,18,18,5,"0,01",,PNEUMATIQUE,2016-09-27,GAZOLE,CONCARNEAU,Navigation côtière,2018-01-01,,,
,BLUE EAGLE,934224,,,1999,441,441,"10,5","6,05",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,,2018-01-01,,,
,SAVANNAH,934654,227213790,JEANNEAU,2000,,,"13,77","0,1",,POLYESTER EPOXY,2017-05-19,,PORT VENDRES,,2018-01-01,,,
