num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,LE P'TIT LOUP,802063,227301080,BENETEAU,1995,184,184,"11,96",13,,PLASTIQUE,1995-09-08,GAZOLE,BAYONNE,Pêche côtière,,,2018-01-01,
,ALEXIS,802821,,,1991,22,22,"5,3",,,METAL,1991-11-14,ESSENCE,SAINT NAZAIRE,Navigation côtière,2018-01-01,,,
,L'AIGRETTE II,803140,227653350,,1993,84,84,"8,82",,,PLASTIQUE,2003-06-26,GAZOLE,ILE D'OLERON,Navigation côtière,2018-01-01,,,
,LESCONIL,803271,227011260,,1990,320,320,"14,36",,,METAL,1990-09-04,GAZOLE,ROUEN,Navigation côtière,2018-01-01,,,
9031143,BON SECOURS 7,803597,227072990,,1991,1075,1075,"27,3",,,METAL,1991-06-18,GAZOLE,ROUEN,Remorquage Nav.Cot.,2018-01-01,,,
,THALASSA CROISIERES,803825,227008370,,1991,442,442,"14,48",,,PLASTIQUE,1991-06-10,GAZOLE,AJACCIO,Navigation côtière,2018-01-01,,,
,LE CORSAIRE,803853,227008360,,1992,442,442,"14,5",,,PLASTIQUE,1992-06-15,GAZOLE,AJACCIO,Navigation côtière,2018-01-01,,,
,ORION II,804676,227587490,,1996,78,78,"8,47","2,49",,PLASTIQUE,1996-08-08,GAZOLE,AUDIERNE,Petite pêche,,,2018-01-01,
,BEL ILE,804680,227564670,,1995,110,110,"8,47","5,31",,METAL,2002-04-16,GAZOLE,AURAY,Petite pêche,,,2018-01-01,
,BELOUGA,804681,227595180,,1994,110,110,"8,47","5,92",,METAL,1995-01-11,GAZOLE,LE GUILVINEC,Petite pêche,,,2018-01-01,
9183219,BARA AR VRO,804686,228935000,,1996,500,500,"23,5",134,,METAL,1997-01-15,GAZOLE,LE GUILVINEC,Pêche au large,,,2018-01-01,
,TARIFA,804688,227309850,,1996,162,162,"9,8","5,09",,METAL,1996-12-18,GAZOLE,LE GUILVINEC,Petite pêche,,,2018-01-01,
8664448,L'AR VOALEDEN,804691,226178000,,2000,714,497,"22,85","180,18",,METAL,2000-12-08,GAZOLE,LE GUILVINEC,Pêche au large,,,2018-01-01,
,SANTA MARIA DOMINIQU,804694,227311590,,1997,110,110,"8,45","3,63",,PLASTIQUE,1997-12-01,GAZOLE,AUDIERNE,Petite pêche,,,2018-01-01,
,LADY HAWKE,804695,227312310,,1998,110,110,"8,45",3,,PLASTIQUE,1998-03-10,GAZOLE,LE GUILVINEC,Petite pêche,,,2018-01-01,
,WOTAN,805340,,,1991,221,221,"8,5","3,53",,BOIS,1991-03-27,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-31,
,AUGUSTIN,805363,,,1991,59,59,"5,9","1,05",,PLASTIQUE,1991-04-17,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-18,
,SERGE ET NINOTTE,805415,,,1991,110,110,"6,9","1,95",,PLASTIQUE,1991-06-03,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-28,
,FLORA,805417,329014860,,1991,63,63,"5,4","1,03",,PLASTIQUE,2002-03-20,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-24,
,NAZARETH,805454,329002260,,1991,331,331,"8,68","5,13",,PLASTIQUE,1991-07-03,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-21,
,VINI OU LA,805461,329004150,NEPTUNE,1991,165,165,"7,4","2,1",,PLASTIQUE,2018-10-11,GAZOLE,POINTE A PITRE,Plaisance NC,2018-11-19,,,
,DEO,805539,,,1991,63,63,"5,9","1,05",,PLASTIQUE,1991-08-30,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-04-16,
,DIEU EST ROI,805558,227309870,,1991,61,61,7,"2,14",,PLASTIQUE,1991-10-03,ESSENCE,POINTE A PITRE,,,,2018-01-01,
,QUO VADIS II,806052,227603460,,1992,300,300,9,"3,78",,PLASTIQUE,1992-03-06,GAZOLE,BASTIA,Petite pêche,,,2019-03-08,
,CORSICA V,806108,227588550,,1992,177,177,"8,8","4,83",,PLASTIQUE,1992-04-14,GAZOLE,BASTIA,Petite pêche,,,2018-01-01,
9006253,NORMANDIE,806560,227273000,,1992,17760,17760,161,27541,,METAL,1992-04-22,GAZOLE,CAEN,Cabotage Internat.,2018-11-07,,,
8229377,PERE DANIEL,806638,227554000,,1991,320,320,"18,5","109,96",,METAL,1991-10-09,GAZOLE,CAEN,Pêche au large,,,2018-01-01,
,SAINT PAUL,806962,228877000,,1992,261,261,12,"28,08",,BOIS,1992-03-05,GAZOLE,CAEN,Pêche côtière,,,2018-01-01,
8543383,VAUBAN,807008,227414000,,1992,552,552,"24,5","189,13",,METAL,1992-05-13,GAZOLE,CAEN,Pêche au large,,,2018-03-23,
,L'ODYSSEE,807548,227784850,,1991,150,150,"9,62","3,36",,PLASTIQUE,2016-10-07,GAZOLE,MARSEILLE,Petite pêche,,,2018-01-01,
,JEAN-JACQUES,807604,227241690,BIHORE ,1991,103,103,"7,18","2,93",,PLASTIQUE,1991-09-06,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,CAPU ROSSU,808117,227720150,CARBONEL CLAUDE,1991,111,111,"5,6","1,19",,PLASTIQUE,1992-05-14,ESSENCE,AJACCIO,Petite pêche,,,2018-01-01,
,DURANDAL 2,808150,227001320,,1992,383,383,14,,,METAL,1992-07-15,GAZOLE,PORT VENDRES,Cabotage National,2018-01-01,,,
,ACBI,809061,,,1991,13,13,"7,1",,,METAL,1991-05-16,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,ARDIE,809081,,,1991,147,147,"7,99",,,METAL,1991-07-18,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,MOR VRAN,809098,,0,1991,,,4,,,BOIS,1992-04-08,INCONNU,VANNES,Conchyl.Pure,,,2018-01-01,
,PIERRE,809364,,,1991,36,36,"6,98",,,METAL,1991-11-20,ESSENCE,VANNES,Conchyl.Pure,,,2018-05-16,
,AVOCETTE,809371,227001430,,1992,221,221,"18,85",,,PLASTIQUE,1992-06-25,GAZOLE,VANNES,Navigation côtière,2018-01-01,,,
,EQUINOXE,809374,,,1992,18,18,"4,5",,,METAL,1992-04-28,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,LUI ET MOI,809387,227868710,,1991,58,58,"17,02",,,CONTREPLAQUE,1999-10-18,ESSENCE,AURAY,Plaisance NC,2018-01-01,,,
,L'EQUINOXE,809411,,,1991,18,18,"4,2",,,METAL,1991-08-16,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,ILE D'INDRA,809439,,,1993,55,55,"7,4",,,METAL,1993-03-09,ESSENCE,VANNES,Conchyl.Pure,,,2018-10-19,
,CELFLO,814654,,,1991,63,63,"7,39",,,METAL,1991-08-05,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,ILRHEA,814685,,,1991,48,48,"11,95",,,METAL,1991-07-24,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,WAIMEA,814914,,,1991,73,73,7,,,METAL,1991-11-21,ESSENCE,LA ROCHELLE,Conchyl.PetitePêche,,,2018-01-01,
9032575,PIERRE LOTI,814951,227002660,,1992,1156,956,"34,95",278,,ACIER,1992-04-14,GAZOLE,LA ROCHELLE,Navigation côtière,2018-01-01,,,
,VILLE EN BOIS,814954,,,1987,74,74,"8,7",,,METAL,1992-06-18,ESSENCE,LA ROCHELLE,Navigation côtière,2018-07-31,,,
9058426,OKATA,815108,227513000,,1992,390,390,"21,4","131,32",,METAL,1992-06-03,GAZOLE,LA ROCHELLE,Pêche au large,,,2018-01-01,
,CEDRIC-ELODIE,815116,,,1991,10,10,"7,2",,,METAL,1992-04-22,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,LURIC,815152,,,1992,29,29,"6,7",,,METAL,1992-10-02,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,PLOUTOS,815169,,,1993,29,29,"7,84",,,METAL,1993-07-01,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,ELDORADO,815333,,,1993,110,110,"11,97",,,METAL,1993-10-18,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,PALACESA,815371,,,1993,28,28,"10,06",,,METAL,1993-03-10,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,BIP-BIP,815468,,,1992,76,76,8,,,METAL,1992-06-29,ESSENCE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,LE POULAILLER,815486,227750720,,1992,168,168,"16,63",,,METAL,1993-01-07,GAZOLE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,BAYOTA II,815511,228317000,,1991,160,160,"11,95","17,39",,PLASTIQUE,1991-09-13,GAZOLE,CONCARNEAU,Petite pêche,,,2019-01-14,
9019884,ENEZ SUN III,815523,227002630,,1991,2936,2548,"33,52",330,,METAL,1991-11-19,GAZOLE,AUDIERNE,Cabotage National,2018-01-01,,,
,LE CAILLOU,817567,,,1990,40,40,8,,,METAL,1991-04-30,ESSENCE,NOIRMOUTIER,Navigation côtière,2018-01-01,,,
,ECLAIR,817584,227217860,GARREAU,1991,52,52,8,,,METAL,1991-06-18,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,KANGOUROU,817601,227740110,,1991,59,59,"6,84","2,54",,PLASTIQUE,1991-10-17,GAZOLE,NOIRMOUTIER,Petite pêche,,,2018-01-01,
,PATOILLART,817657,227822560,SOCODAIRE,1991,40,40,"7,43",,,METAL,1991-07-26,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,MUTIN,817695,,GENDRON,1991,55,55,"6,8",,,PLASTIQUE,1991-08-26,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,JAZZ,819443,,,1992,37,37,"5,18","0,55",,PLASTIQUE,1994-11-09,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,L'ULYSSE 2,819502,227391870,,1992,177,177,"11,85",,,PLASTIQUE,1992-03-10,GAZOLE,SETE,Navigation côtière,2018-01-01,,,
,DIANE,819503,,,1991,29,29,"5,5","0,86",,PLASTIQUE,1991-12-17,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,MAGALI 3,819511,,,1992,147,147,9,,,PLASTIQUE,1992-05-22,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,SAINT CLAIR 7,819512,227590110,,1992,368,368,"11,9",,,METAL,1992-05-07,GAZOLE,SETE,Navigation côtière,2018-01-01,,,
,LA PERLE D'OC,819515,227756760,,1992,330,330,"11,85",,,PLASTIQUE,1992-07-08,GAZOLE,SETE,Conchyl.PetitePêche,,,2018-01-01,
,AFICIONAD'EAU,819517,227784420,,1992,108,108,"11,9",,,METAL,1992-09-09,GAZOLE,SETE,Navigation côtière,2018-01-01,,,
,MARIE 3,819523,227185970,,1992,121,121,9,"3,28",,PLASTIQUE,1992-09-09,GAZOLE,SETE,Petite pêche,,,2019-04-08,
8878805,JEANMARIE CHRISTIAN 4,819527,227504000,,1993,914,914,"40,34",253,,PLASTIQUE,1994-06-07,GAZOLE,SETE,Pêche au large,,,2018-01-01,
,NEGUS CORINNE,819528,,,1992,110,110,9,,,PLASTIQUE,1992-07-28,ESSENCE,SETE,Conchyl.Pure,,,2018-02-13,
,TCHIN,819529,,,1992,36,36,"5,05","1,55",,PLASTIQUE,1992-09-30,ESSENCE,MARTIGUES,Petite pêche,,,2018-02-06,
,SANDRA,819539,,,1992,147,147,7,,,PLASTIQUE,1992-12-24,ESSENCE,SETE,Conchyl.PetitePêche,,,2018-01-01,
,LU-CY,819545,,,1984,85,85,"8,5",,,METAL,1984-02-01,ESSENCE,SETE,Conchyl.PetitePêche,,,2018-01-01,
,ABYSS,819547,,,1992,294,294,"11,8",,,PLASTIQUE,1993-03-01,GAZOLE,SETE,Conchyl.Pure,,,2018-01-01,
,DURANGO,819554,,,1988,110,110,7,"2,17",,PLASTIQUE,1991-11-19,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,CATHY,819555,227931760,,1994,85,85,"7,54","3,22",,PLASTIQUE,1994-08-30,ESSENCE,MARTIGUES,Petite pêche,,,2018-01-01,2019-09-16
,BRIGERPHI II,819557,,,1995,86,86,7,"1,99",,PLASTIQUE,1995-07-28,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,NANI,819559,,,1993,56,56,7,"2,17",,PLASTIQUE,,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,L'AMOUR,819561,,,1994,44,44,"6,45","0,6",,PLASTIQUE,1994-05-11,ESSENCE,SETE,Petite pêche,,,2019-05-16,
,JULIEN ANTHONY,819568,,,1994,37,37,"6,5","0,8",,PLASTIQUE,1994-04-29,ESSENCE,SETE,Petite pêche,,,2018-01-01,
8944056,JANVIER GIORDANO,819571,228878000,,1998,1776,1190,"39,9",279,,PLASTIQUE,1998-03-19,GAZOLE,SETE,Pêche au large,,,2018-01-01,
,QUATRE DIEUX 2,824217,227041810,,1984,471,471,"11,6",,,PLASTIQUE,1994-05-05,GAZOLE,NICE,Navigation côtière,2019-02-28,,,
,CATALANE,824798,227010820,ACM CABOURG,1992,397,397,"11,4","0,1",,PLASTIQUE,2017-11-21,GAZOLE,PORT VENDRES,Navigation côtière,2018-06-13,,,
,SEINE 1,825278,,,1976,,,32,,,METAL,1991-11-27,INCONNU,ROUEN,Navigation côtière,2018-01-01,,,
,ARGOAT,825279,,,1976,,,32,,,METAL,1991-11-27,INCONNU,ROUEN,Navigation côtière,2018-01-01,,,
,ILE D'OLERON,825281,,FINISTERIENNE DE CONSTRUCTION ET REPARAT,1974,,,"24,36",247,,METAL,1991-11-27,INCONNU,ROUEN,Navigation côtière,2018-01-01,,,
,YOCADI,826902,,,1991,147,147,"10,05",,,METAL,1992-02-26,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,ENRIKO,826906,,NAUTI BOY,1992,55,55,"5,01",1,,PLASTIQUE,1992-04-02,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,PLUTO,826910,,,1992,40,40,"6,21",,,PLASTIQUE,1992-06-01,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,TOP GUN,826911,,,1992,36,36,"9,03",,,METAL,1992-06-30,GAZOLE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,LA DAME DE CARREAU,826916,,,1992,110,110,9,,,METAL,1992-08-19,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,KEDJI,826917,,,1992,48,48,"4,93",,,PLASTIQUE,1992-08-17,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,BOSUA,826921,,,1992,85,85,"9,2","1,71",,PLASTIQUE,1992-09-15,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,EMERAUDE,826923,,,1992,36,36,"10,58",,,BOIS,1992-11-19,GAZOLE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,MORLO,826927,,,1992,110,110,"9,17",,,METAL,1992-12-23,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,HUGO,826931,,,1993,73,73,"7,5",2,,PLASTIQUE,1993-07-22,ESSENCE,ARCACHON,Petite pêche,,,2018-01-01,
,L'ESTEY,826932,,,1993,230,230,"18,5",,,METAL,1993-07-21,GAZOLE,ARCACHON,Navigation côtière,2018-01-01,,,
,ARGUIN II,826933,,TEYCHOIRES,1993,147,147,"8,58",2,,PLASTIQUE,1993-04-01,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,LE TONNAYRE,826934,,,1993,55,55,5,"0,66",,PLASTIQUE,1993-02-26,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,ZORGLUB,826936,,,1993,110,110,8,,,METAL,1993-04-15,ESSENCE,ARCACHON,Conchyl.Pure,,,2019-02-19,
,LE COURANT,826941,,,1993,36,36,"4,9","0,87",,PLASTIQUE,1993-06-10,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,BIDASSE,826947,,,1993,84,84,"9,2",,,METAL,1993-08-12,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,BARRACUDA,826949,,,1993,114,114,"7,95",,,METAL,1993-09-13,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,TROIS SALINES,826960,227320240,,1991,199,199,"11,95",,,METAL,1992-01-13,GAZOLE,CHERBOURG,Conchyl.Pure,,,2018-01-01,
,DJAIA,826964,227322760,,1992,110,110,"7,3","3,47",,METAL,1992-03-26,GAZOLE,CHERBOURG,Petite pêche,,,2018-01-01,
,LOUCANA,829120,,,1992,37,37,"5,85","0,48",,PLASTIQUE,1994-06-27,ESSENCE,LE GUILVINEC,Petite pêche,,,2019-01-10,
,POPOM,829270,,,1990,58,58,"7,52",,,METAL,1993-09-23,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-08-28,2019-09-16
,VIKING,829320,227111100,BERNARD,1995,160,160,"11,98",17,,PLASTIQUE,1995-11-08,GAZOLE,PAIMPOL,Petite pêche,,,2018-01-01,
,P'TITE LILY,829330,,SOCODAIRE,1994,73,73,"11,48",,,METAL,1994-02-18,ESSENCE,PAIMPOL,Conchyl.Pure,,,2018-01-01,
,YANN-MORGANE,829360,227306730,BERNARD,1995,160,160,"11,95",21,,PLASTIQUE,1996-02-23,GAZOLE,PAIMPOL,Petite pêche,,,2018-01-01,
,LES ALIZES,829380,227590570,,1995,162,162,"8,1",3,,PLASTIQUE,1995-07-04,GAZOLE,BREST,,,,2018-01-01,
,PORT LAZO,829415,,,1995,125,125,"11,98",,,METAL,1995-01-23,ESSENCE,PAIMPOL,Conchyl.Pure,,,2018-01-01,
,SURFER 143,829472,635003300,,1993,559,559,14,"14,3",,METAL,,GAZOLE,Marseille (RIF),,2018-01-01,2019-09-16T00:00:00.000+02:00,,
,ALLA,832727,,,1990,55,55,7,"2,18",,PLASTIQUE,1997-07-08,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,LOUISETTE,832735,227310320,,1986,63,63,"7,13","1,76",,PLASTIQUE,1997-02-18,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,FUMER,832736,227304270,,1991,29,29,"6,5","2,55",,PLASTIQUE,2001-02-19,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MARCELUS,832737,347001530,,1991,55,55,"7,1","1,65",,PLASTIQUE,2002-10-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,CELIA 1,832741,227303110,,1991,55,55,"7,13","1,76",,PLASTIQUE,1995-12-26,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,MES TROIS FILS,832745,347008440,,1991,110,110,"7,6","0,57",,PLASTIQUE,2008-10-21,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ARNAUD ET LIONEL,832749,227306970,,1991,85,85,7,"2,55",,PLASTIQUE,1994-12-12,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MISSILE I,832764,347002030,,1991,166,166,"7,5","1,04",,PLASTIQUE,2008-10-24,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,EL-HAI,832773,227310050,,1992,63,63,"7,06","1,42",,PLASTIQUE,1997-01-30,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,J'AI CONFIANCE,832969,347013390,DRACIUS,1992,147,147,"7,84","0,69",,PLASTIQUE,2010-02-02,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LA DIVINE,832970,347003490,,1992,55,55,"7,14","1,76",,PLASTIQUE,1995-08-21,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ANNA,832978,,,1992,110,110,7,"1,87",,PLASTIQUE,2011-03-01,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,TOUT VA BIEN II,832993,347008540,,1992,166,166,"7,86","1,13",,PLASTIQUE,2007-11-05,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MURIELLE,832994,227307280,,1992,55,55,"7,13","1,7",,PLASTIQUE,1995-07-06,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LA LICORNE,832995,227309660,,1992,63,63,"7,13","1,76",,PLASTIQUE,1996-10-31,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,PERSISTENCE,832998,227230000,,1992,217,217,"26,99",77,,PLASTIQUE,2007-04-10,GAZOLE,Marseille (RIF),Plaisance Cabot.Int.,2018-01-01,,,
,JEDIDJA,833025,347008580,,1993,57,57,"7,13","1,76",,PLASTIQUE,1996-02-05,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,AXEL,833027,227308540,,1993,28,28,"6,32",1,,PLASTIQUE,1994-10-17,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MAITE,833035,227301870,.,1993,63,63,"7,14","1,76",,PLASTIQUE,1993-05-04,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,J. FABIOLA,833036,347005770,,1993,55,55,"7,13","1,76",,PLASTIQUE,1993-05-13,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,JE L'AVAIS DIT,833044,347004140,,1993,110,110,7,"1,22",,PLASTIQUE,1995-05-09,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,MONA,833045,347011910,,1993,354,354,"12,28","3,55",,METAL,1993-10-21,GAZOLE,FORT DE FRANCE,Navigation côtière,2018-01-01,,,
,LA SIDONE,833046,,,1993,6,6,"6,1","0,76",,PLASTIQUE,1998-09-21,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,FISHING ADDICTION,833048,347004510,,1993,110,110,7,"1,55",,PLASTIQUE,1995-11-20,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-04-29,
,LE SALAKO,833060,227645390,,1993,177,177,"13,6",,,PLASTIQUE,1993-07-27,ESSENCE,ARCACHON,Navigation côtière,2019-02-25,,,
,MAKAIRA,833062,347003960,,1993,109,109,7,"2,55",,PLASTIQUE,2017-02-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,BIG-UP,833064,347020430,,1993,63,63,"7,13","1,26",,PLASTIQUE,1996-10-07,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MARLIN STAR,833066,226048000,,1993,243,243,"16,08","56,99",,PLASTIQUE,1999-07-30,GAZOLE,FORT DE FRANCE,Pêche au large,,,2018-01-01,
,GETHSEMANI,833068,,,1993,63,63,"7,14","1,62",,PLASTIQUE,1993-10-19,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,X-KAMEE,833155,347001510,,1992,147,147,8,"4,11",,PLASTIQUE,1994-08-11,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,M LA BRETONNE,833157,347002940,,1994,63,63,"6,5","1,96",,PLASTIQUE,1994-08-29,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,ALLE VIRE,833158,347002170,,1994,125,125,"7,13","1,82",,PLASTIQUE,1994-09-07,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-05-21,
,PAPI JO,833161,227307910,,1994,147,147,"7,58","0,52",,PLASTIQUE,2007-07-09,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,OLIVIA,833162,227302370,,1994,55,55,"7,13","1,76",,PLASTIQUE,1994-10-04,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,PAPI 2,833164,347018020,,1994,55,55,"7,56","2,26",,PLASTIQUE,2004-03-15,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,REINE DES ANGES,833172,347007620,,1994,110,110,"6,97","2,28",,PLASTIQUE,1999-02-08,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ALGOL IV,833174,227723000,,1994,161,161,"23,57",,,METAL,2007-06-18,GAZOLE,PORT VENDRES,Plaisance Cabot.Int.,2018-01-01,,,
,CETACE,833368,227301650,,1992,28,28,"6,2","0,74",,PLASTIQUE,1995-05-23,GAZOLE,FORT DE FRANCE,,,,2018-01-01,
,RELAX,833834,227682050,PLASTI PECHE,1993,110,110,"6,4",2,,PLASTIQUE,1993-09-01,ESSENCE,LES SABLES D'OLONNE,Petite pêche,,,2018-01-01,
,SAGITTAIRE,833835,227320780,,1994,147,147,"11,7",12,,PLASTIQUE,1994-03-07,GAZOLE,LES SABLES D'OLONNE,Petite pêche,,,2018-01-01,
,LA WALLONNE,837137,745000600,,1992,368,368,"23,92","158,4",SOCIETE DE PECHE GUYANAISE SAUVAGE,METAL,1992-10-23,GAZOLE,CAYENNE,Pêche au large,,,2018-01-01,
,L'EUROPEENNE,837147,745005400,,1992,316,316,"23,92","158,4",SOCIETE DE PECHE GUYANAISE SAUVAGE,METAL,1992-10-23,GAZOLE,CAYENNE,Pêche au large,,,2018-01-01,
,PALO FINI,837170,745000370,,1992,125,125,"6,75",,,PLASTIQUE,1992-06-04,ESSENCE,CAYENNE,Navigation côtière,2018-01-01,,,
,ROUGET,837274,745001540,,1994,81,81,"11,93","18,5",,BOIS,1994-08-16,GAZOLE,CAYENNE,Pêche côtière,,,2018-01-01,
,STEREDEN,837336,745002800,,1994,316,316,"22,3",96,,METAL,1995-02-23,GAZOLE,CAYENNE,Pêche au large,,,2018-01-01,
,TY COZ,837338,745003700,,1994,316,316,"22,3",96,,METAL,1995-02-23,GAZOLE,CAYENNE,,,,2018-01-01,2019-09-16
,TARA,837346,745002900,,1994,316,316,"22,3",96,,METAL,1995-02-23,GAZOLE,CAYENNE,,,,2018-01-01,
,LANITA,837347,745003100,,1994,316,316,"22,3",96,,METAL,1995-02-23,GAZOLE,CAYENNE,Pêche au large,,,2018-01-01,
,TI CONNETABLE,837373,745004900,,1995,419,419,"18,12",,,METAL,1996-04-10,GAZOLE,CAYENNE,Navigation côtière,2018-01-01,,,
,IBIS,837573,745001020,,2000,85,85,"10,4","3,45",,METAL,2000-08-09,ESSENCE,CAYENNE,,,,2018-01-01,
,FREDO,837583,745000970,,2000,85,85,11,"5,14",,METAL,2000-11-30,ESSENCE,CAYENNE,,,,2018-01-01,
,JULIANA,837595,745002510,,2000,45,45,"8,94","1,55",,BOIS,2001-03-16,ESSENCE,CAYENNE,,,,2018-01-01,
,ROYAL TI'PUNCH,837618,745000040,,2002,,,"18,3",,,PLASTIQUE,2002-02-04,,CAYENNE,Navigation côtière,2018-01-01,,,
,DOUCIN,837622,745001580,,2002,147,147,"8,5","4,27",,METAL,2003-06-12,ESSENCE,CAYENNE,Pilotage,2018-01-01,,,
,PIMENTADE 3,837623,745002640,,2002,104,104,"9,33","1,8",,BOIS,2002-03-18,ESSENCE,CAYENNE,Petite pêche,,,2018-01-01,
,CARAIBEENNE II,837632,745001500,,2002,313,313,"20,52",96,,METAL,2002-12-18,GAZOLE,CAYENNE,Pêche au large,,,2018-05-16,2019-09-16
,RICARDO 2,837637,745000880,,2003,86,86,"9,9","2,98",,BOIS,2004-02-13,ESSENCE,CAYENNE,Pêche côtière,,,2018-01-01,
,LE SAINT JOSEPH,837642,745000330,,2003,89,89,"8,5",4,,METAL,,GAZOLE,CAYENNE,Navigation côtière,2018-01-01,,,
,EURO,837726,745000910,DEPAUL PAMPHAL,2006,88,88,"11,98","9,37",,BOIS,2007-03-12,ESSENCE,CAYENNE,Pêche côtière,,,2018-01-01,
