,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
5921,9434060,SPITSBERGEN,Ro-pax ship,2018.0,Not Applicable,Tromso,,,25/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,5467.05,,17527.36,15282.53,0.0,0.0,2244.84,15599.37,1927.99,,6811.68,86.06,,,,481.33,350.42,275.91,,,,1543.15,1123.44,,6811.68,,,,,,,,,,,,,,,,
5958,9435454,SCOTTISH VIKING,Ro-pax ship,2018.0,EIV (425 gCO₂/t·nm),Venezia - RI 042,,IC,31/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,12129.0,,75880.91,35003.0,0.0,0.0,3286.0,75880.91,75880.91,,5526.0,142.93,,,,1.39,0.14,894.18,,,,8.72,0.85,,5526.0,,",Freight transport|Passenger transport,33865;AtBerth,Freight transport|Passenger transport,3675",,,,,,,,,,,,,,
6018,9437866,SILVER SPIRIT,Passenger ship,2018.0,Not Applicable,Nassau,,,24/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,5936.27,,18903.23,9388.77,2670.02,4989.13,1855.3,,,,4054.23,197.05,,,,385.71,,627.47,,,,1228.23,,,4054.23,,,,,,,,,,,,,,,,
6028,9438066,MARINA,Passenger ship,2018.0,,Majuro,,,30/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,12007.15,,38128.27,25731.93,2373.76,3054.34,6968.26,,,,2745.8,285.57,,,,244.8,,906.8,,,,777.36,,,2745.8,,,,,,,,,,,,,,,,
6029,9438078,RIVIERA,Passenger ship,2018.0,,Majuro,,,30/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,15409.66,,48286.61,28152.89,7046.72,4399.83,8687.18,,,,3180.15,326.74,,,,266.95,,1023.85,,,,836.5,,,3180.15,,,,,,,,,,,,,,,,
6097,9441130,ABEL MATUTES,Ro-pax ship,2018.0,EIV (15.1 gCO₂/t·nm),Santa Cruz de tenerife,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,15396.06,,47965.33,47014.49,0.0,0.0,1254.11,1424.59,46540.74,,4753.7,160.97,,,,758.2,757.01,501.48,,,,2362.13,2358.4,,4753.7,,,,,,,,,,,,,,,,
6098,9441142,BAHAMA MAMA,Ro-pax ship,2018.0,EIV (20.7 gCO₂/t·nm),Valleta,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,14533.94,,45299.07,33539.04,5548.89,5427.91,718.07,9023.57,36275.5,,4362.0,158.23,,,,2000.31,2000.06,493.18,,,,6234.52,6233.73,,4362.0,,,,,,,,,,,,,,,,
6131,9441867,DONG-A GLAUCOS,Ro-ro ship,2018.0,Not Applicable,Majuro,,,29/04/2019,30/06/2020,,Korean register of shipping,DAkkS,"36, Myeongji ocean city 9-ro, Gangseo gu,

Busan, 618-814, Republic of Korea",Busan,D-VS-20824-01-00,"Korea, Republic of",Yes,,,,1968.29,1879.7,6163.83,1499.42,3053.6,1313.04,297.76,,,5883.13,1035.0,165.54,18.56,,,,,518.4,58.12,,,,,,1035.0,,,159.28,17.72,,,,,498.53,55.47,,,,,,
6161,9443255,BALTIC QUEEN,Ro-pax ship,2018.0,EIV (2.6 gCO₂/t·nm),Tallinn,Tallinn,IA Supper,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,Yes,,17211.43,,54233.22,49246.19,0.0,0.0,4987.01,45056.37,4189.82,,6113.75,188.72,,,,103.75,16.17,594.67,,,,326.9,50.96,,6113.75,,,,,,,,,,,,,,,,
6196,9445980,MORNING LADY,Ro-ro ship,2018.0,Not Applicable,Panama,,,26/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4146.33,,12911.79,4296.73,6786.36,1760.9,67.79,,,,2479.07,106.58,12.66,,,,,331.9,39.42,,,,,,2479.07,,,,,,,,,,,,,,,,
6197,9445992,MORNING LAURA,Ro-ro ship,2018.0,Not Applicable,Panama,,,26/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,3650.63,,11446.98,2799.37,2112.37,6262.19,273.06,,,,2062.07,124.39,12.82,,,,,390.03,40.21,,,,,,2062.07,,,,,,,,,,,,,,,,
6198,9446001,MORNING LENA,Ro-ro ship,2018.0,Not Applicable,Panama,,,26/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4315.83,,13484.19,1226.76,5622.0,6470.76,164.68,,,,2202.14,128.47,13.61,,,,,401.37,42.53,,,,,,2202.14,,,,,,,,,,,,,,,,
6199,9446013,MORNING LILY,Ro-ro ship,2018.0,Not Applicable,Panama,,,26/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,5398.84,,16899.68,2098.08,9594.67,5134.02,72.9,,,,3529.74,108.77,11.7,,,,,340.49,36.64,,,,,,3529.74,,,,,,,,,,,,,,,,
6244,9448114,LIBERTY PRIDE,Ro-ro ship,2018.0,EIV (15.62 gCO₂/t·nm),New York,,,30/04/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,1182.21,505.31,3699.31,563.84,1546.94,1543.61,44.92,,,1579.7,796.3,106.06,42.75,,,,,331.86,133.79,,,,,,796.3,,,,18.27,,,,,,57.13,,,,,,
6255,9448425,LIBERTY PROMISE,Ro-ro ship,2018.0,EIV (15.53 gCO₂/t·nm),New York,,,30/04/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,1376.8,954.9,4294.88,0.0,1736.42,2404.59,153.87,,,2980.57,810.9,105.72,22.29,,,,,329.78,69.52,,,,,,810.9,,,,15.46,,,,,,48.24,,,,,,
6307,9451006,MEDITERRANEAN SEA,Ro-ro ship,2018.0,Not Applicable,Saint John's,,,23/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,9495.7,,29692.72,13965.03,8601.83,6168.82,957.04,,,,5955.3,136.77,35.04,,,,,427.67,109.56,,,,,,5955.3,,,,,,,,,,,,,,,,
6308,9451094,CELEBRITY SILHOUETTE,Passenger ship,2018.0,Not Applicable,Valletta,,,24/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,24851.61,,77811.38,63360.49,7842.08,5564.92,1043.89,,,,5005.95,402.57,,,,138.57,,1260.46,,,,433.86,,,5005.95,,,,,,,,,,,,,,,,
6432,9457165,HATCHE,Ro-ro ship,2018.0,Not Applicable,Istanbul,,,16/07/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,Yes,,,10572.25,,32939.98,6434.38,12007.64,14206.97,290.98,,,,5005.83,114.92,40.84,,,,,358.04,127.23,,,,,,5005.83,,,,,,,,,,,,,,,,
6433,9457177,EUROCARGO SICILIA,Ro-ro ship,2018.0,EIV (7.09 gCO₂/t·nm),Palermo,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,11800.52,11800.52,36807.19,34979.21,0.0,0.0,1827.98,,,36807.19,6194.94,120.13,24.6,,,,,374.7,76.72,,,,,,6194.94,,,,24.6,,,,,,76.72,,,,,,
6434,9457191,EUROCARGO SAVONA,Ro-ro ship,2018.0,EIV (30.6 gCO₂/t·nm),Valletta,,,24/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,11304.6,11304.6,35289.51,33623.0,0.0,0.0,1666.0,,,35289.51,5971.0,130.91,25.09,,,,,408.66,78.33,,,,,,5971.0,,,130.91,25.09,,,,,408.66,78.33,,,,,,
6465,9458511,SUPERFAST II,Ro-pax ship,2018.0,EIV (18.29 gCO₂/t·nm),Piraeus,,,24/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,19857.17,,62344.69,59278.67,0.0,0.0,3066.02,5738.36,59672.35,,5826.6,172.74,,,,46.36,43.13,542.36,,,,146.85,135.41,,5826.6,,,,,,,,,,,,,,,,
6466,9458523,FORZA,Ro-pax ship,2018.0,EIV (39.2 gCO₂/t·nm),Genova,Valencia,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,17093.93,,53279.97,51555.94,0.0,0.0,1724.02,53279.97,53279.97,,5420.0,170.48,,,,1.04,0.08,531.38,,,,3.23,0.25,,5420.0,,,,,,,,,,,,,,,,
6467,9458535,REGINA SEAWAYS,Ro-pax ship,2018.0,EIV (5 gCO₂/t·nm),Klaipeda,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,Yes,,17263.95,,53779.21,52254.74,0.0,0.0,1524.45,53779.21,53779.21,,6328.85,142.14,42.82,,,652.8,,442.77,133.39,,,2033.54,,,6328.85,,,,,,,,,,,,,,,,
6473,9458951,EUROCARGO GENOVA,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12729.0,,39720.48,37344.51,0.0,0.0,2375.97,,,,4625.49,144.92,25.02,,,,,452.23,78.08,,,,,,4625.49,,,,,,,,,,,,,,,,
6596,9465239,PASSIO PER FORMENTERA,Ro-pax ship,2018.0,EIV (38.9 gCO₂/t·nm),Santa Cruz de Tenerife,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,5894.91,,18507.53,16534.39,0.0,0.0,1973.1,8161.84,10345.69,,2993.0,108.34,,,,872.13,872.01,340.14,,,,2738.12,2737.75,,2993.0,,,,,,,,,,,,,,,,
6607,9465514,EUROCARGO MALTA,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13203.2,,41196.82,38710.25,0.0,0.0,2486.57,,,,5130.56,136.13,28.87,,,,,424.74,90.08,,,,,,5130.56,,,,,,,,,,,,,,,,
6608,9465526,EUROCARGO ROMA,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,29/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,16244.52,,50660.47,50660.47,0.0,0.0,1956.94,,,,5551.28,150.65,29.19,,,,,469.82,91.02,,,,,,5551.28,,,,,,,,,,,,,,,,
6609,9465538,EUROCARGO PALERMO,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12330.97,,38486.76,35770.25,0.0,0.0,2716.51,,,,4413.56,149.66,26.37,,,,,467.12,82.3,,,,,,4413.56,,,,,,,,,,,,,,,,
6610,9465540,EUROCARGO ALEXANDRIA,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13014.4,,40625.8,37667.3,0.0,0.0,2958.5,,,,4727.95,141.33,31.18,,,,,441.17,97.34,,,,,,4727.95,,,,,,,,,,,,,,,,
6611,9465552,EUROCARGO VENEZIA,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13565.5,,42330.37,39728.06,0.0,0.0,2602.31,,,,5168.8,139.8,30.81,,,,,436.25,96.15,,,,,,5168.8,,,,,,,,,,,,,,,,
6683,9468889,FINNBREEZE,Ro-ro ship,2018.0,EIV (33.21 gCO₂/t·nm),Helsinki,Helsinki,IA,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12698.0,,39654.09,37732.0,0.0,0.0,1923.0,,,,4916.0,148.39,29.22,,,,,463.39,91.26,,,,,,4916.0,,,,,,,,,,,,,,,,
6684,9468891,FINNSEA,Ro-ro ship,2018.0,EIV (33.21 gCO₂/t·nm),Helsinki,Helsinki,IA,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12695.0,,39671.52,37758.0,0.0,0.0,1911.0,,,,4878.0,153.05,28.35,,,,,478.27,88.59,,,,,,4878.0,,,,,,,,,,,,,,,,
6685,9468906,FINNSKY,Ro-ro ship,2018.0,EIV (33.46 gCO₂/t·nm),Helsinki,Helsinki,IA,09/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,11983.0,,37449.66,35709.0,0.0,0.0,1741.0,,,,4870.0,150.19,27.37,,,,,469.36,85.53,,,,,,4870.0,,,,,,,,,,,,,,,,
6686,9468918,FINNSUN,Ro-ro ship,2018.0,EIV (33.29 gCO₂/t·nm),Helsinki,Helsinki,IA,09/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12503.0,,39069.77,37053.0,0.0,0.0,2017.0,,,,4905.0,155.13,28.04,,,,,484.75,87.61,,,,,,4905.0,,,,,,,,,,,,,,,,
6687,9468920,FINNTIDE,Ro-ro ship,2018.0,EIV (33.19 gCO₂/t·nm),Helsinki,Helsinki,IA,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,17656.0,,55133.23,53397.0,0.0,0.0,1736.0,,,,6289.0,149.68,44.75,,,,,467.39,139.75,,,,,,6289.0,,,,,,,,,,,,,,,,
6688,9468932,FINNWAVE,Ro-ro ship,2018.0,EIV (33.22 gCO₂/t·nm),Helsinki,Helsinki,IA,09/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,16653.0,,51997.65,50305.0,0.0,0.0,1693.0,,,,5906.0,144.11,41.83,,,,,449.98,130.61,,,,,,5906.0,,,,,,,,,,,,,,,,
6694,9469376,STENA TRANSPORTER,Ro-pax ship,2018.0,,Hoek van Holland,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,10954.0,,34206.99,31655.47,0.0,0.0,2551.52,9915.33,24291.66,,4150.0,158.91,,,,270.18,22.93,496.23,,,,848.04,71.45,,4150.0,,,,,,,,,,,,,,,,
6695,9469388,STENA TRANSIT,Ro-pax ship,2018.0,,Hoek van Holland,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,10232.0,,31937.89,29716.25,0.0,0.0,2221.64,2369.11,29568.77,,4024.0,152.12,,,,64.03,28.99,474.84,,,,204.71,90.33,,4024.0,,,,,,,,,,,,,,,,
6732,9471056,EUROCARGO RAVENNA,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13974.59,,43604.81,41064.95,0.0,0.0,2539.86,,,,4669.94,153.29,37.68,,,,,478.32,117.57,,,,,,4669.94,,,,,,,,,,,,,,,,
6733,9471068,EUROCARGO CAGLIARI,Ro-ro ship,2018.0,EIV (10.74 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12094.44,,37751.98,34974.62,0.0,0.0,2777.36,,,,4810.85,136.12,23.78,,,,,424.89,74.24,,,,,,4810.85,,,,,,,,,,,,,,,,
6734,9471070,EUROCARGO LIVORNO,Ro-ro ship,2018.0,EIV (11.37 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,12800.25,,39937.83,37610.27,0.0,0.0,2327.56,,,,5076.21,121.75,30.42,,,,,379.86,94.93,,,,,,5076.21,,,,,,,,,,,,,,,,
6735,9471082,EUROCARGO BARI,Ro-ro ship,2018.0,EIV (11.37 gCO₂/t·nm),Palermo,,,29/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,15010.0,,46806.27,46806.27,0.0,0.0,2038.37,,,,5478.35,141.91,27.15,,,,,442.53,84.67,,,,,,5478.35,,,,,,,,,,,,,,,,
6821,9476305,KORCULA,Ro-pax ship,2018.0,EIV (3E+1 gCO₂/t·nm),Rijeka,,,29/04/2019,30/06/2020,,CROATIAN REGISTER OF SHIPPING,Croatian Accreditation Agency,Marasoviceva 67,21000 SPLIT,9568,Croatia,,Yes,,,2926.26,,9381.59,7505.29,0.0,0.0,1876.32,9381.59,9381.59,,3077.0,64.89,,,,0.38,0.38,208.03,,,,1.21,1.23,,3077.0,,,,,,,,,,,,,,,,
6832,9476721,GLOVIS COUNTESS,Ro-ro ship,2018.0,Not Applicable,MAJURO,,,30/04/2019,30/06/2020,,Korean register of shipping,DAkkS,"36, Myeongji ocean city 9-ro, Gangseo gu,

Busan, 618-814, Republic of Korea",Busan,D-VS-20824-01-00,"Korea, Republic of",Yes,,,,3421.19,3421.19,10692.75,1129.14,7551.84,1828.15,178.2,,,10692.75,2188.7,113.45,17.73,,,,,354.57,55.41,,,,,,2188.7,,,113.45,17.73,,,,,354.57,55.41,,,,,,
6843,9477438,QUEEN ELIZABETH,Passenger ship,2018.0,EIV (14.21 gCO₂/t·nm),Hamilton,Southampton,,17/07/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,33197.77,,104248.3,72366.7,10304.0,13257.0,8320.6,,,,4661.8,498.44,,,,254.07,,1565.2,,,,797.82,,,4661.8,,,,,,,,,,,,,,,,
6851,9477919,MORNING CAMILLA,Ro-ro ship,2018.0,EIV (16.72 gCO₂/t·nm),Panama,,,24/04/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,2451.2,,7706.14,3258.35,1899.8,1853.39,694.61,,,,1479.47,121.55,20.85,,,,,382.12,65.53,,,,,,1479.47,,,,,,,,,,,,,,,,
6879,9479852,COSTA FAVOLOSA,Passenger ship,2018.0,EIV (21.68 gCO₂/t·nm),Genova,,,18/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,25176.4,,78905.4,62101.65,3271.31,4325.99,9214.32,,,,6241.3,364.61,,,,115.6,,1142.72,,,,362.31,,,6241.3,,,,,,,,,,,,,,,,
6880,9479864,COSTA FASCINOSA,Passenger ship,2018.0,EIV (21.67 gCO₂/t·nm),Genova,,,18/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,25555.54,,79661.87,62669.22,3645.18,3359.15,9998.22,,,,6310.55,373.24,,,,109.93,,1163.46,,,,342.66,,,6310.55,,,,,,,,,,,,,,,,
6931,9482902,FINLAGGAN,Ro-pax ship,2018.0,,Glasgow,Kennacraig,,28/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,4056.0,,13003.54,11485.79,0.0,0.0,1517.86,4448.33,7037.49,,3556.0,84.7,,,,0.27,0.27,271.55,,,,0.88,0.88,,3556.0,,,,,,,,,,,,,,,,
6932,9483126,SEABOURN QUEST,Passenger ship,2018.0,Not Applicable,NASSAU,,,04/07/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,3902.33,,12335.95,7238.74,3684.27,590.65,822.28,,,,2644.57,223.12,,,,531.94,,705.33,,,,1681.57,,,2644.57,,,,,,,,,,,,,,,,
6948,9483786,ARABIAN SEA,Ro-ro ship,2018.0,Not Applicable,Saint John's,,,23/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,7943.3,,24805.97,10492.03,6176.21,6910.24,1227.5,,,,4183.6,176.02,47.29,,,,,549.69,147.69,,,,,,4183.6,,,,,,,,,,,,,,,,
7046,9490040,AIDASOL,Passenger ship,2018.0,EIV (18.07 gCO₂/t·nm),Genova,,,04/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,18087.5,,57322.49,45988.07,903.45,617.08,9816.8,,,,7157.7,266.41,,,,128.06,,844.3,,,,405.83,,,7157.7,,,,,,,,,,,,,,,,
7047,9490052,AIDAMAR,Passenger ship,2018.0,EIV (18.07 gCO₂/t·nm),Genova,,,25/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,15022.0,,47345.46,30737.06,3837.41,5879.33,6895.22,,,,6205.27,240.58,,,,147.33,,758.26,,,,464.34,,,6205.27,,,,,,,,,,,,,,,,
7145,9494905,LAKE FUXIAN,Ro-ro ship,2018.0,EIV (26.68 gCO₂/t·nm),Monrovia,Monrovia,,30/06/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,2532.4,,7910.87,701.95,3161.63,3916.48,262.27,,,,1588.0,117.33,14.94,,,,,366.53,46.66,,,,,,1588.0,,,,,,,,,,,,,,,,
7219,9498743,HEDY LAMARR,Ro-pax ship,2018.0,EIV (19.5 gCO₂/t·nm),Limassol,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,16849.2,,52648.29,49381.56,0.0,0.0,3266.73,842.35,51805.94,,4231.0,190.5,,,,457.82,1617.14,595.27,,,,1430.54,5053.04,,4231.0,,,,,,,,,,,,,,,,
7267,9502506,LE BOREAL,Passenger ship,2018.0,EIV (21.9 gCO₂/t·nm),,,IC,27/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,,Yes,,,1681.59,,5351.52,2968.0,758.0,1008.0,618.0,,,,1621.0,87.31,,,,428.2,,277.87,,,,1362.7,,,1621.0,,,,,,,,,,,,,,,,
7268,9502518,L AUSTRAL,Passenger ship,2018.0,EIV (21.9 gCO₂/t·nm),,,IC,27/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,,Yes,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
