,country,code,name,latitude,longitude
31642,FR,HZB,Merville-Calonne Airport,50.61840057373047,2.642240047454834
31477,FR,ETZ,Metz-Nancy-Lorraine Airport,48.9821014404,6.25131988525
31332,FR,XMW,Montauban Airport,44.02569961547852,1.3780399560928345
31291,FR,MCU,Montluçon-Guéret Airport,46.22259902954102,2.3639600276947017
31544,FR,MPL,Montpellier-Méditerranée Airport,43.57619857788086,3.96301007270813
31668,FR,MXN,Morlaix-Ploujean Airport,48.6031990051,-3.81577992439
31685,FR,ENC,Nancy-Essey Airport,48.692100524902344,6.230460166931152
31666,FR,NTE,Nantes Atlantique Airport,47.15319824220001,-1.61073005199
31629,FR,NVS,Nevers-Fourchambault Airport,47.002601623535156,3.1133298873901367
31538,FR,NCE,Nice-Côte d'Azur Airport,43.658401489300005,7.215869903560001
31294,FR,NIT,Niort-Souché Airport,46.313477,-0.394529
31706,FR,FNI,Nîmes-Arles-Camargue Airport,43.75740051269531,4.4163498878479
31539,FR,XOG,Orange-Caritat (BA 115) Air Base,44.14049911499024,4.866720199584961
31582,FR,ORE,Orléans-Bricy (BA 123) Air Base,47.9878005981,1.7605600357100002
31574,FR,BVA,Paris Beauvais Tillé Airport,49.45439910888672,2.1127800941467285
31600,FR,LBG,Paris-Le Bourget Airport,48.969398498535156,2.441390037536621
31612,FR,ORY,Paris-Orly Airport,48.7233333,2.3794444
31296,FR,PUF,Pau Pyrénées Airport,43.38000106811523,-0.4186109900474548
31540,FR,PGF,Perpignan-Rivesaltes (Llabanère) Airport,42.74039840698242,2.8706700801849365
31289,FR,PIS,Poitiers-Biard Airport,46.58769989013672,0.30666598677635193
31616,FR,POX,Pontoise - Cormeilles-en-Vexin Airport,49.096667,2.040833
31302,FR,PGX,Périgueux-Bassillac Airport,45.19810104370117,0.815555989742279
31665,FR,UIP,Quimper-Cornouaille Airport,47.974998474121094,-4.167789936065674
31662,FR,RNS,Rennes-Saint-Jacques Airport,48.0694999695,-1.73478996754
