city_a,city_b,imo,companyName,ship,city_a_slug,city_b_slug,city_a_country_code,city_a_latitude,city_a_longitude,city_b_country_code,city_b_latitude,city_b_longitude,city_a_geonameid,city_b_geonameid,name
Kasos,Patmos,9215555.0,Blue Star Ferries,Nissos Chios,kasos,patmos,GR,35.41623,26.92328,GR,37.30895,26.54723,262217.0,255688.0,NISSOS CHIOS
Kasos,Symi (Simi),9215555.0,Blue Star Ferries,Nissos Chios,kasos,symi-simi,GR,35.41623,26.92328,GR,36.61547,27.836190000000002,262217.0,253858.0,NISSOS CHIOS
Kastelorizo,Le Pirée,9215555.0,Blue Star Ferries,Nissos Chios,kastelorizo,le-piree,GR,36.14889,29.593609999999998,GR,37.942029999999995,23.64619,257080.0,255274.0,NISSOS CHIOS
Kastelorizo,Lipsi,9565041.0,Hellenic Seaways,Blue Star Patmos,kastelorizo,lipsi,GR,36.14889,29.593609999999998,GR,37.28333,26.76667,257080.0,258261.0,BLUE STAR PATMOS
Kastelorizo,Rhodes,9565041.0,Blue Star Ferries,Blue Star Patmos,kastelorizo,rhodes,GR,36.14889,29.593609999999998,GR,36.435559999999995,28.22199,257080.0,400666.0,BLUE STAR PATMOS
Kastelorizo,Tilos,9215555.0,Blue Star Ferries,Nissos Chios,kastelorizo,tilos,GR,36.14889,29.593609999999998,GR,36.45505,27.34563,257080.0,257400.0,NISSOS CHIOS
Kavala,Le Pirée,9208679.0,Blue Star Ferries,Nissos Mykonos,kavala,le-piree,GR,40.93959,24.40687,GR,37.942029999999995,23.64619,735861.0,255274.0,NISSOS MYKONOS
Kavala,Limnos (Myrina),9215555.0,Blue Star Ferries,Nissos Chios,kavala,limnos-myrina,GR,40.93959,24.40687,GR,39.874829999999996,25.063589999999998,735861.0,256930.0,NISSOS CHIOS
Kavala,Mykonos,9208679.0,Blue Star Ferries,Nissos Mykonos,kavala,mykonos,GR,40.93959,24.40687,GR,37.44529,25.32872,735861.0,257056.0,NISSOS MYKONOS
Kavala,Mytilene,9208679.0,Blue Star Ferries,Nissos Mykonos,kavala,mytilene,GR,40.93959,24.40687,GR,39.10772,26.555290000000003,735861.0,256866.0,NISSOS MYKONOS
Kavala,Syros,9208679.0,Blue Star Ferries,Nissos Mykonos,kavala,syros,GR,40.93959,24.40687,GR,37.44997,24.93562,735861.0,264839.0,NISSOS MYKONOS
Kavala,Vathi,9215555.0,Blue Star Ferries,Nissos Chios,kavala,vathi,GR,40.93959,24.40687,GR,38.4049,23.60332,735861.0,252164.0,NISSOS CHIOS
